Folio,Latitud,Longitud,Municipio,Entidad,Seccion,Circun,Region,Tipo,IndigAfro,Sexo,Edad,Grupo,Joven,Mayor,Creden,P1a,P1b,P1c,P1d,P1e,P1f,P1g,P1h,P1i,P1j,P1k,P2a,P2b,P2c,P2d,P2e,P2f,P2g,P3a_1,P3a_2,P3a_3,P3a_4,P3a_5,P3a_6,P3b_1,P3b_2,P3b_3,P3b_4,P3b_5,P3b_6,P3c_1,P3c_2,P3c_3,P3c_4,P3c_5,P3c_6,P3d_1,P3d_2,P3d_3,P3d_4,P3d_5,P3d_6,P3e_1,P3e_2,P3e_3,P3e_4,P3e_5,P3e_6,P3f_1,P3f_2,P3f_3,P3f_4,P3f_5,P3f_6,P4a_1,P4a_2,P4a_3,P4a_4,P4a_5,P4a_6,P4a_7,P4b_1,P4b_2,P4b_3,P4b_4,P4b_5,P4b_6,P4b_7,P4c_1,P4c_2,P4c_3,P4c_4,P4c_5,P4c_6,P4c_7,P4d_1,P4d_2,P4d_3,P4d_4,P4d_5,P4d_6,P4d_7,P4e_1,P4e_2,P4e_3,P4e_4,P4e_5,P4e_6,P4e_7,P4f_1,P4f_2,P4f_3,P4f_4,P4f_5,P4f_6,P4f_7,P5a,P5b,P5c,P5d,P5e,P5f,P5g,P5h,P5i,P6a,P6b,P6c,P6d,P6e,P7_1,P7_2,P7_3,P7_4,P7_5,P7_6,P7_7,P7_8,P7_9,P7_10,P7_11,P7_12,P7_13,P7_14,P7_15,P7_16,P7_17,P7_18,P8_1,P8_2,P8_3,P9a,P9b,P9c,P9d,P9e,P9f,P9g,P9h,P9i,P9j,P9k,P9l,P9m,P9n,P9o,P10a,P10b,P10c,P10d,P10e,P10f,P10g,P10h,P10i,P10j,P10k,P10l,P10m,P11,P12,P12_1,P12_2,P12_3_1,P12_3_2,P12_3_3,P12_3_4,P12_3_5,P12_3_6,P12_3_7,P12_3_8,P12_3_9,P12_4,P13,P13_1_1,P13_1_2,P13_1_3,P13_1_4,P13_1_5,P13_1_6,P13_1_7,P13_1_8,P13_1_9,P14,P15,P16_1,P16_2,P16_3,P16_4,P16_5,P16_6,P16_7,P16_8,P17,P17_1a,P17_1b,P17_1c,P17_1d,P17_1e,P18a,P18b,P18c,P18d,P18e,P18f,P18g,P18h,P18i,P18j,P19a,P19b,P19c,P19d,P19e,P20,P21_1,P21_2,P21_3,P21_4,P21_5,P21_6,P21_7,P21_8,P22_1,P22_2,P22_3,P22_4,P22_5,P22_6,P22_7,P23a,P23b,P23c,P23d,P23e,P23f,P23_1a,P23_1b,P23_1c,P23_1d,P23_1e,P23_1f,P24_1,P24_2a,P24_2b,P24_2c,P24_2d,P24_2e,P24_2f,P24_2g,P24_2h,P24_2i,P24_2j,P25_1,P25_1a,P25_1b,P25_1c,P25_1d,P25_1e,P25_1f,P25_1g,P25_1h,P25_1i,P25_1j,P26_1,P26_2a,P26_2b,P26_2c,P26_2d,P26_2e,P26_2f,P26_2g,P26_2h,P26_2i,P26_2j,P27_1,P27_2a,P27_2b,P27_2c,P27_2d,P27_2e,P27_2f,P27_2g,P27_2h,P27_2i,P27_2j,P28a,P28b,P28c,P28d,P28e,P28f,P28g,P28h,P28i,P29,P29_1,P30,P31,P32,P33,P34a,P34b,P34c,P34d,P34e,Amai1,Amai2,Amai3,Amai4,Amai5,Amai6,Puntos,Nivel,Fecha,Inicio,Termino,Pond,Fexpm
354,20.55864716,-100.9590607,44,11,2922,2,4,1,2,1,45,3,2,2,1,2,1,2,2,3,2,2,2,4,2,2,2,4,3,3,2,3,2,2,99,2,2,2,2,2,98,2,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,1,1,2,1,1,1,2,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,1,2,2,98,2,2,0,2,2,1,0,0,0,0,0,4,4,3,3,4,1, , , , , , , , , , , , , , , , , ,1, , ,4,4,2,3,2,3,3,3,3,3,3,3,2,3,4,3,3,3,2,3,3,3,3,3,3,3,4,3,3,1,1,2,1, , , , , , , , , ,1, , , , , , , , , ,4,1,1, , , , , , , ,2,3,2,3,3,3,1,3,3,2,3,3,3,3,3,2,2,2,2,2,2,1,1, , , , , , , ,1, , , , , , ,3,3,1,2,2,3,3,4,3,3,3,3,1,3,3,3,3,3,4,3,3,3,3,1,1,4,3,3,2,2,2,3,3,2,1,2,3,2,4,1,2,3,4,3,3,1,2,2,2,3,2,3,2,3,3,4,3,4,2,2,3,3,3,2,3,1, ,2,1,3,2,2,2,2,2,2,16,24,22,32,15,11,120,4,9/13/2024,10:10:00,10:43:00,.660343411562639,54119.5151515152
355,20.558918,-100.9588089,44,11,2922,2,4,1,2,1,52,3,2,2,1,4,3,4,3,2,4,3,4,4,4,4,4,4,3,4,4,4,3,1,1,1,99,2,1,2,98,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,1,1,1,1,2,1,1,2,2,1,2,2,2,2,2,2,2,98,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,98,2,2,98,2,1,1,2,2,2,1,2,1,2,2,2,2,2,1,2,1,2,2,2,2,3,3,3,2,2,2,4,3,4,4,1, , , , , , , , , , , , , , , , , ,1, , ,3,2,3,2,3,3,4,4,4,4,4,4,3,2,1,3,3,3,4,3,4,3,4,3,3,4,3,3,3,1,1,1,1, , , , , , , , , ,1, , , , , , , , , ,1,1,1, , , , , , , ,2,4,4,4,3,4,3,3,3,4,3,4,4,3,3,3,1,2,2,2,2,1,2, , , , , , , ,1, , , , , , ,4,3,3,4,4,4,3,4,4,4,4,4,1,4,3,3,4,3,1,3,4,4,3,1,3,2,3,3,4,3,4,4,4,2,1,3,2,2,2,3,2,3,3,4,4,1,2,2,3,4,4,3,3,3,2,2,3,3,2,2,2,2,3,3,2,1, ,2,2,4,2,2,2,2,2,2,24,24,22,32,31,12,145,3,9/13/2024,10:55:00,11:22:00,.660343411562639,54119.5151515152
356,20.55914116,-100.958519,44,11,2922,2,4,1,2,2,32,2,2,2,1,3,2,1,2,2,3,3,3,3,3,2,3,2,3,3,3,3,3,2,1,1,1,1,2,2,2,2,98,2,2,2,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,98,1,1,2,2,2,2,98,98,2,1,1,2,1,2,2,2,1,1,1,1,2,2,2,1,2,1,1,2,2,2,1,2,1,2,3,1,2,3,2,2,1,0,4,2,3,3,3,1, , , , , , , , , , , , , , , , , ,1, , ,4,4,4,4,4,4,4,4,4,4,3,2,1,2,2,3,3,2,3,3,4,3,4,3,3,3,2,2,4,1,2,1,1, , , , , , , , , ,1, , , , , , , , , ,1,1,1, , , , , , , ,2,4,3,3,4,2,2,4,2,4,3,3,3,3,3,3,1,99,2,1,1,1,2, , , , , , , ,1, , , , , , ,4,4,3,4,3,4,3,3,3,3,3,3,1,3,3,98,2,2,4,3,3,2,3,1,2,2,2,2,3,3,2,4,3,4,1,2,3,3,2,4,3,3,2,2,4,1,3,4,2,3,2,2,3,2,3,3,2,2,3,3,3,3,3,3,3,1, ,2,1,6,2,2,2,2,2,2,24,24,22,32,15,59,176,2,9/13/2024,11:31:00,11:59:00,.861777523439148,70628.3744493392
357,20.55909157,-100.957901,44,11,2922,2,4,1,2,1,24,1,1,2,1,4,3,1,3,2,3,1,3,2,2,2,2,2,3,3,3,2,3,1,1,1,1,1,2,98,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,98,2,2,2,98,2,2,1,2,1,2,98,2,1,2,2,1,2,2,1,1,2,2,1,2,2,1,1,2,2,1,1,2,2,1,1,1,1,2,2,1,1,2,1,2,2,2,1,2,1,2,1,2,3,1,2,2,1,2,0,0,3,3,1,2,3,1, , , , , , , , , , , , , , , , , ,1, , ,3,3,1,1,2,2,2,2,2,2,3,2,4,2,3,2,2,3,3,3,2,4,2,2,3,2,2,3,4,1,1,3,1, , , , , , , , , ,2,2, , , , , , , , ,4,1,1, , , , , , , ,2,4,3,1,3,2,3,3,2,3,3,98,1,3,3,3,98,98,2,2,1,1,1, , , , , , , ,2, , , , , , ,4,3,3,3,3,3,3,4,3,3,4,3,1,2,2,4,3,3,3,2,2,2,4,1,3,2,2,3,2,2,3,3,2,3,1,3,2,3,3,4,3,4,4,3,3,1,1,2,2,2,2,2,3,3,3,3,3,3,2,3,2,3,3,3,1,1, ,1,0,10,3,2,2,2,2,2,24,47,22,32,31,59,215,1,9/13/2024,12:11:00,12:38:00,1.33794845448975,109653.735294118
358,20.558918,-100.9575424,44,11,2922,2,4,1,2,1,41,3,2,2,1,3,3,2,2,1,2,3,2,3,2,3,2,4,2,2,4,2,2,98,98,98,98,98,2,2,2,98,98,2,2,98,2,98,98,2,2,2,2,98,99,2,2,2,2,2,2,2,2,98,98,2,98,98,2,2,2,2,2,2,2,2,98,98,2,2,2,2,2,98,2,2,2,2,2,98,2,2,2,2,1,2,98,2,2,98,98,2,2,2,2,98,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,3,2,3,2,1, , , , , , , , , , , , , , , , , ,1, , ,3,3,3,2,3,3,3,3,2,3,2,2,3,3,4,3,3,3,1,3,1,2,2,2,98,1,3,4,3,1,1,2,1, , , , , , , , , ,1, , , , , , , , , ,1,1,1, , , , , , , ,2,4,3,2,3,2,2,2,2,1,2,3,3,3,2,3,1,98,98,98,2,1,1, , , , , , , ,1, , , , , , ,3,1,2,2,2,3,3,4,3,2,3,2,1,3,3,2,3,3,3,3,2,3,3,1,3,2,2,3,3,3,3,3,3,4,1,1,2,1,2,2,3,2,2,2,2,1,2,3,2,3,1,2,2,3,3,2,1,3,1,3,2,3,3,3,3,1, ,2,2,5,2,2,2,2,2,2,24,24,43,32,15,18,156,3,9/13/2024,12:47:00,13:16:00,.660343411562639,54119.5151515152
359,20.55846214,-100.9575577,44,11,2922,2,4,1,2,2,38,2,2,2,1,4,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,98,2,2,98,2,2,2,2,2,2,2,98,2,2,2,2,2,98,2,2,98,2,98,98,98,98,2,2,2,2,2,2,2,98,2,98,98,2,2,2,2,2,2,2,1,1,2,2,2,2,98,2,2,2,2,2,2,2,2,2,2,2,2,2,98,98,99,2,2,2,2,2,2,98,98,98,2,2,2,1,2,2,1,2,3,0,3,4,2,2,2,1, , , , , , , , , , , , , , , , , ,1, , ,4,4,4,4,1,1,3,2,4,2,1,1,1,2,3,1,1,2,1,1,98,1,2,2,2,1,2,3,2,1,1,3,1, , , , , , , , , ,1, , , , , , , , , ,1,1,1, , , , , , , ,2,2,1,2,2,1,2,3,2,2,2,3,3,3,2,2,2,98,98,98,2,1,2, , , , , , , ,1, , , , , , ,4,3,2,2,2,2,2,2,2,2,2,4,1,3,2,2,3,3,2,3,3,2,3,1,2,2,2,2,3,3,2,2,3,2,1,2,2,2,2,2,2,3,2,3,3,1,2,2,2,3,2,3,2,3,2,3,3,3,2,3,2,2,2,2,3,1, ,2,2,10,2,2,2,2,2,2,16,47,22,32,31,59,207,1,9/13/2024,13:22:00,13:51:00,.861777523439148,70628.3744493392
360,20.55797768,-100.9575043,44,11,2922,2,4,1,2,2,36,2,2,2,1,3,4,3,4,2,2,3,3,3,3,2,2,4,2,2,2,2,2,2,99,98,98,2,2,2,98,99,98,2,2,2,98,98,98,2,2,98,99,98,98,98,98,2,2,98,2,2,2,2,2,2,2,2,1,98,98,2,2,2,2,2,98,2,2,2,98,2,98,2,98,98,2,1,2,2,98,2,98,1,1,1,2,2,98,2,1,2,1,1,2,99,2,2,2,2,1,2,3,1,2,4,2,3,2,0,4,3,2,2,3,1, , , , , , , , , , , , , , , , , ,1, , ,3,3,3,2,1,3,3,3,3,3,1,2,2,2,2,2,2,2,3,3,4,3,3,3,3,3,3,3,4,1,1,2,1, , , , , , , , , ,1, , , , , , , , , ,4,1,1, , , , , , , ,2,4,3,2,2,1,3,2,2,2,3,3,3,3,2,2,98,98,2,98,98,1,1, , , , , , , ,1, , , , , , ,3,3,3,2,3,2,3,3,2,2,3,2,1,2,2,2,2,2,2,2,3,3,98,1,2,3,2,3,1,2,2,2,3,2,1,2,2,2,2,3,1,2,3,3,3,1,2,2,1,3,2,4,3,2,2,3,2,3,3,3,3,2,1,2,3,1, ,2,2,8,2,2,2,2,2,2,8,24,22,32,15,23,124,4,9/13/2024,14:03:00,14:31:00,.861777523439148,70628.3744493392
361,16.8267765,-99.81564331,1,12,301,4,6,1,2,2,23,1,1,2,1,3,2,3,4,3,3,3,2,3,3,4,3,2,3,2,2,3,1,1,98,98,1,1,1,1,98,1,1,1,1,1,98,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,2,2,2,1,1,1,2,1,1,98,3,1,0,2,7,5,0,5,0,3,3,3,4,3,1,3,5,6,10,11,17,18, , , , , , , , , , ,1,10,11,3,3,3,4,3,3,2,3,4,1,3,2,3,2,2,3,3,3,4,3,3,3,2,3,3,3,4,3,3,1,2,2,1,3, , , , , , , , ,1, , , , , , , , , ,1,1,1, , , , , , , ,2,4,2,3,1,3,3,3,4,3,2,1,3,2,3,2,1,1,1,1,1,1,1,4,5, , , , , ,1,5, , , , , ,3,3,3,4,4,4,4,3,3,4,4,4,1,3,3,4,4,2,3,3,3,4,3,1,4,4,4,4,2,4,3,4,4,4,1,3,4,4,4,2,4,4,3,4,3,1,3,4,3,3,3,3,4,3,4,2,4,3,4,3,4,4,4,4,3,1, ,1,0,8,6,2,2,2,2,2,16,24,0,32,31,18,121,4,9/14/2024,8:00:00,8:26:00,1.11574862342172,91442.9878048781
362,16.82681656,-99.81583405,1,12,301,4,6,1,2,2,45,3,2,2,1,3,2,2,3,3,3,3,3,2,3,3,2,3,2,3,3,3,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,2,2,1,2,1,1,1,2,1,1,1,1,2,1,2,2,2,1,1,2,1,2,2,2,1,1,2,1,2,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,5,0,0,2,6,2,0,3,0,4,4,3,3,3,1,10,17, , , , , , , , , , , , , , , ,1,3,5,3,3,3,3,2,3,3,3,3,2,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,3,3,1,3,3,1, , , , , , , , , ,1, , , , , , , , , ,1,1,1, , , , , , , ,4,3,3,4,3,4,3,3,3,2,2,3,4,3,4,4,1,1,1,1,1,1,1,4,6, , , , , ,1, , , , , , ,4,3,3,4,3,4,4,4,4,4,3,3,1,4,3,4,4,2,4,3,4,4,3,1,3,4,4,3,1,3,3,3,4,4,1,4,4,4,4,1,4,3,4,4,3,1,4,4,4,4,1,4,3,4,4,3,3,3,3,4,3,4,4,4,3,1, ,3,1,5,4,2,2,2,2,2,16,24,22,32,15,18,127,4,9/14/2024,8:28:00,8:53:00,.780064184364093,63931.4252336449
363,16.82692528,-99.81596375,1,12,301,4,6,1,2,1,18,1,1,2,1,4,3,3,4,4,2,4,3,3,3,4,4,3,3,2,3,4,2,1,1,2,2,1,1,1,2,1,2,1,1,1,1,2,2,1,1,2,2,2,2,1,2,1,2,2,2,1,2,1,2,2,2,1,1,1,1,1,2,2,1,2,1,1,1,2,1,1,2,1,2,1,2,2,1,2,1,1,2,2,1,1,2,1,2,2,2,2,2,2,1,2,1,1,2,1,2,1,0,0,1,3,2,0,5,0,3,3,3,4,3,3,5,10,15,17, , , , , , , , , , , , , ,5,10,15,3,3,3,3,3,3,3,3,3,2,3,2,2,2,3,3,4,4,3,3,2,3,3,3,3,3,4,3,3,1,7,3,3, , , , , , , , , ,1, , , , , , , , , ,1,1,5, , , , , , , ,2,3,3,3,4,4,3,3,4,3,3,3,3,3,3,3,1,1,1,1,1,1,2,5, , , , , , ,10,5, , , , , ,4,3,3,4,3,3,4,3,3,3,4,3,1,3,4,4,4,3,4,4,4,4,3,1,4,4,3,4,2,4,3,3,3,2,1,4,4,3,4,1,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,1, ,1,0,3,2,2,2,2,2,2,16,24,22,32,46,12,152,3,9/14/2024,9:00:00,9:28:00,1.33794845448975,109653.735294118
364,16.82710457,-99.81593323,1,12,301,4,6,1,2,2,61,4,2,1,1,2,2,2,2,2,2,2,3,2,2,3,3,3,2,2,3,3,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,2,1,2,1,2,1,1,1,2,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,4,1,0,2,6,5,5,7,0,3,4,3,3,3,5,6,7,10,17, , , , , , , , , , , , , ,1,20, ,3,4,4,4,3,3,3,4,3,2,3,3,3,3,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,1,2,2,1,4,3, , , , , , , ,1, , , , , , , , , ,1,1,1, , , , , , , ,2,4,4,3,4,4,3,4,4,3,3,2,3,3,3,3,1,1,1,2,1,1,1,3,4, , , , , ,1,5, , , , , ,4,4,4,3,3,4,4,3,4,3,4,4,1,4,4,4,4,1,3,4,4,4,3,1,4,4,4,4,2,3,3,3,4,3,1,3,4,3,3,3,3,3,3,3,3,1,3,3,3,3,2,3,3,3,3,2,4,3,4,3,3,4,3,3,3,1, ,3,3,4,4,2,2,2,2,2,24,24,22,32,31,18,151,3,9/14/2024,9:31:00,9:57:00,1.82652629753365,149695.924731183
365,16.82723236,-99.81590271,1,12,301,4,6,1,2,2,34,2,2,2,1,3,4,3,3,4,3,3,4,3,3,4,2,3,2,2,2,3,2,1,1,1,2,1,1,1,2,1,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,2,1,2,2,2,1,2,1,1,2,1,2,1,2,1,1,2,1,2,1,2,1,2,2,1,2,1,2,1,1,2,1,2,1,2,1,2,2,1,2,2,2,1,2,2,2,2,1,2,4,0,0,3,5,2,2,5,0,3,3,3,3,3,5,7,17, , , , , , , , , , , , , , , ,3,10,12,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,3,3,3,3,3,3,4,4,3,1,2,2,3,4,5, , , , , , , ,1, , , , , , , , , ,1,2, , , , , , , , ,3,3,3,3,3,4,3,4,4,2,2,2,3,3,3,3,1,1,1,1,1,1,6,5,4, , , , , ,1,13, , , , , ,4,3,3,3,3,4,4,4,3,3,3,4,1,3,4,3,3,3,3,4,4,3,3,1,4,3,3,3,2,4,2,3,3,4,1,4,4,4,4,2,4,4,4,4,4,1,4,3,3,4,1,3,4,4,3,3,4,3,4,4,4,4,3,3,3,1, ,2,2,3,4,2,2,2,2,2,16,24,0,32,15,18,105,5,9/14/2024,10:12:00,10:41:00,.861777523439148,70628.3744493392
366,16.82746696,-99.81587982,1,12,301,4,6,1,2,1,25,2,1,2,1,4,2,2,4,4,3,3,3,3,4,4,3,3,3,3,3,4,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,1,1,1,2,2,2,1,1,1,2,1,2,2,2,2,1,1,1,2,2,2,2,1,2,1,2,2,2,2,1,1,1,2,1,1,1,1,2,1,2,2,2,2,1,2,1,2,2,2,2,1,0,0,3,7,5,4,5,0,3,3,3,4,3,11,17,18,19,10,5, , , , , , , , , , , , ,5,6,10,3,3,4,3,2,2,3,4,3,3,3,2,2,2,3,3,3,4,4,4,3,3,2,3,3,3,4,3,3,1,5,3,3,4, , , , , , , , ,2,3,4, , , , , , , ,1,1,3,14, , , , , , ,2,4,3,3,2,3,3,3,3,3,3,3,4,4,3,4,1,1,1,1,1,1,1,4, , , , , , ,5,12, , , , , ,4,4,4,3,3,4,3,3,3,3,3,4,1,3,3,4,4,2,4,3,4,4,4,1,3,3,2,3,2,3,3,3,3,2,1,4,4,3,4,2,4,4,4,3,3,1,2,3,3,4,3,3,2,2,3,3,3,4,4,3,4,3,4,3,4,1, ,1,0,7,2,2,2,2,2,2,8,24,0,32,15,12,91,6,9/14/2024,10:47:00,11:16:00,.940652120990915,77092.67
367,16.82762527,-99.81649017,1,12,301,4,6,1,2,1,41,3,2,2,1,2,2,2,2,2,2,2,4,2,3,3,3,2,3,2,2,4,2,1,2,2,2,2,1,1,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,1,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,3,2,1,1,2,0,4,4,3,4,2,17,18,19,1,7,5,10, , , , , , , , , , , ,1,4,5,2,2,3,4,3,2,3,3,3,2,3,2,3,2,3,3,3,2,2,2,3,2,3,2,3,4,4,3,3,1,4,1,4,5, , , , , , , , ,1, , , , , , , , , ,1,1,1, , , , , , , ,1,3,2,3,3,3,3,4,2,3,3,3,4,3,3,3,1,2,1,1,1,1,5,6,2, , , , , ,1, , , , , , ,3,3,3,4,3,3,4,4,3,4,4,3,1,4,3,3,3,3,4,3,2,3,3,1,3,4,3,4,2,4,3,3,3,2,1,3,3,4,3,2,4,3,3,3,3,1,3,3,3,3,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,6,3,3,4,2,2,2,2,2,2,24,24,22,32,31,18,151,3,9/14/2024,11:22:00,11:52:00,.660343411562639,54119.5151515152
368,16.82785416,-99.81669617,1,12,301,4,6,1,2,2,55,4,2,2,1,4,4,4,4,3,3,4,3,3,4,4,4,2,3,2,4,4,2,1,2,2,1,2,1,1,2,2,2,1,1,1,2,2,2,1,1,1,2,1,2,1,1,1,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,2,1,1,1,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,2,1,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,0,0,3,3,0,0,6,0,3,4,3,3,3,1,7,5,15,18,17, , , , , , , , , , , , ,1,4,10,3,3,4,4,3,3,3,3,4,2,4,4,3,4,4,3,4,3,4,4,3,3,4,4,3,3,3,4,4,1,2,2,1,3,4,5,6, , , , , ,1, , , , , , , , , ,1,1,5,10,1, , , , , ,2,4,4,4,3,4,4,4,3,3,3,4,3,4,4,3,2,1,1,2,1,1,1,2, , , , , , ,1,5,12, , , , ,4,3,4,4,3,4,4,4,4,4,3,4,1,4,4,4,4,2,2,3,3,4,4,1,4,4,4,4,1,3,4,4,4,4,1,4,3,3,3,2,4,4,3,3,3,1,4,4,4,3,2,3,3,4,4,3,4,3,4,3,4,3,4,4,4,1, ,3,2,1,4,2,2,2,2,2,16,24,22,32,15,11,120,4,9/14/2024,11:58:00,12:25:00,1.82652629753365,149695.924731183
369,16.8278923,-99.81685638,1,12,301,4,6,1,2,2,27,2,1,2,1,3,4,4,4,4,4,4,2,3,3,4,3,2,3,2,3,3,2,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,2,2,2,2,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,2,1,1,2,2,2,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,2,2,1,2,5,0,0,3,5,2,1,2,1,3,4,4,4,4,1,5,6,10, , , , , , , , , , , , , , ,1,3,10,3,4,4,4,4,3,3,3,4,3,3,3,3,2,3,4,3,3,4,4,4,3,4,3,4,4,4,4,4,1,8,2,1,4,5,6, , , , , , ,1, , , , , , , , , ,1,1,1, , , , , , , ,2,4,3,4,3,4,4,4,3,3,3,4,3,3,3,3,1,1,1,1,1,1,1,3,2,4, , , , ,1, , , , , , ,4,4,4,4,4,4,3,3,3,3,4,3,1,3,4,3,4,2,4,3,4,4,4,1,4,4,4,4,2,4,4,4,4,4,1,3,3,4,4,1,4,4,4,4,3,1,4,4,3,4,1,4,3,4,3,3,4,3,4,4,4,4,4,4,4,1, ,1,0,4,2,2,2,2,2,2,24,24,22,32,31,23,156,3,9/14/2024,12:33:00,13:30:00,.861777523439148,70628.3744493392
370,16.82808876,-99.81699371,1,12,301,4,6,1,2,2,38,2,2,2,1,4,4,4,4,4,4,4,3,3,4,4,4,2,3,2,2,4,3,1,2,1,2,2,1,1,2,1,2,2,1,1,2,2,2,1,1,1,2,1,1,1,1,1,2,2,2,1,2,1,2,1,1,1,1,1,2,2,2,2,1,2,1,1,2,2,2,1,2,1,2,2,2,2,1,2,1,1,2,1,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,2,5,0,0,1,3,1,0,5,0,2,3,2,3,3,1,10, , , , , , , , , , , , , , , , ,1,10, ,2,2,4,4,3,4,3,3,3,2,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,4,4,3,3,1,1,3,1,4,3, , , , , , , ,1, , , , , , , , , ,1,1,1,5, , , , , , ,2,3,4,3,2,4,4,3,3,3,3,3,4,3,3,3,1,1,1,1,1,1,2,1,4,6,5, , , ,1, , , , , , ,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,3,4,4,3,4,4,1,3,3,4,4,2,4,4,3,3,3,1,3,4,4,3,1,2,3,3,3,3,1,3,3,4,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,1, ,3,2,3,2,2,2,2,2,2,16,24,0,32,31,18,121,4,9/14/2024,13:15:00,13:42:00,.861777523439148,70628.3744493392
371,17.54235458,-99.50126648,29,12,1261,4,6,1,2,2,22,1,1,2,1,2,3,3,2,4,4,3,3,3,3,2,3,4,2,3,4,4,3,1,2,1,2,1,2,1,2,2,1,1,1,1,2,1,1,2,2,2,2,1,2,1,1,2,2,1,2,2,1,2,1,98,2,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,1,2,2,2,1,1,1,2,2,2,98,1,1,1,1,2,1,2,2,2,1,2,1,4,2,0,5,5,1,1,1,3,3,4,4,3,4,1,3,5,6,7, , , , , , , , , , , , , ,1, , ,3,2,4,98,3,3,4,2,4,3,4,2,3,4,4,3,4,4,2,98,4,3,3,3,4,3,3,4,3,2, , , , , , , , , , , ,6,2,2,8,9,6, , , , , ,5,1,1,3,6, , , , , ,2,4,3,3,4,3,3,2,4,4,4,4,2,2,3,4,2,1,2,2,2,2, , , , , , , , , , , , , , , ,4,3,3,3,2,3,4,3,3,4,4,3,1,3,3,3,2,3,4,2,2,3,4,1,3,4,2,1,4,3,4,4,2,3,1,3,3,4,4,3,3,4,4,3,3,1,4,4,4,2,3,3,3,3,4,3,3,4,3,2,2,4,4,3,4,2,4,4,0,2,2,2,2,2,2,2,24,47,22,32,61,6,192,2,9/14/2024,8:02:00,8:27:00,1.11574862342172,91442.9878048781
